cLitter,cSoil,cVeg,npp,rh,nbp,fLuc,tas,fDis,Year,Model
204.954753278962,1334.02665783076,502.135639657484,42.2955551147461,42.9073028564453,-0.611754238605499,NaN,274.478546142578,6.49690628051758e-06,1700,CABLE-POP
204.832603749797,1333.94027871556,502.014343682388,42.8978652954102,42.9040145874023,-0.00615587830543518,NaN,274.309295654297,6.58631324768066e-06,1701,CABLE-POP
204.137547971534,1333.14288688524,502.478981727372,42.5303916931152,42.5291366577148,0.00125378370285034,NaN,274.390563964844,1.2516975402832e-06,1702,CABLE-POP
204.352104377065,1333.34434212854,502.371497367927,42.1999549865723,42.8693466186523,-0.669391214847565,NaN,274.514007568359,-4.17232513427734e-07,1703,CABLE-POP
204.825695729595,1333.86350406837,502.153658657516,44.2601165771484,42.724437713623,1.53568267822266,NaN,274.483520507812,-3.814697265625e-06,1704,CABLE-POP
204.991026537002,1334.12277750114,502.6193606428,43.1848106384277,43.2657699584961,-0.0809609889984131,NaN,274.519836425781,1.66893005371094e-06,1705,CABLE-POP
204.920578774333,1334.02511903917,502.306954153946,42.7408752441406,42.9411315917969,-0.200252622365952,NaN,274.390838623047,-3.72529029846191e-06,1706,CABLE-POP
205.597938675942,1334.83997062844,502.05179074535,43.4316635131836,42.7280654907227,0.703593611717224,NaN,274.217559814453,4.41074371337891e-06,1707,CABLE-POP
205.39060422236,1334.844696253,502.804680712266,43.1717491149902,42.5625305175781,0.60922110080719,NaN,274.310180664062,-2.50339508056641e-06,1708,CABLE-POP
204.508236558851,1333.96685696082,503.404113055752,42.5351829528809,43.121410369873,-0.586228370666504,NaN,274.388519287109,9.5367431640625e-07,1709,CABLE-POP
204.327483271624,1333.69901751682,503.143441368562,42.5437240600586,42.8390693664551,-0.295353770256042,NaN,274.46533203125,8.46385955810547e-06,1710,CABLE-POP
204.419205662357,1333.72561003278,503.485842635911,43.6490592956543,43.1929817199707,0.456074059009552,NaN,274.53515625,3.51667404174805e-06,1711,CABLE-POP
204.05594907257,1333.34191674916,504.008488471848,43.2720489501953,42.7959861755371,0.47606885433197,NaN,274.368072509766,-6.07967376708984e-06,1712,CABLE-POP
204.037821214212,1333.371536051,505.20686629021,44.2327079772949,42.8938865661621,1.33881890773773,NaN,274.436340332031,2.50339508056641e-06,1713,CABLE-POP
203.78014197949,1333.19095349327,505.552242094463,42.620849609375,42.7395782470703,-0.118730425834656,NaN,274.403778076172,1.78813934326172e-06,1714,CABLE-POP
203.695801802523,1333.14081474294,506.138468991922,43.4818687438965,43.0815200805664,0.400351464748383,NaN,274.475006103516,-2.80141830444336e-06,1715,CABLE-POP
203.777783533528,1333.22606675027,506.183623250104,43.2944259643555,43.1342163085938,0.160208180546761,NaN,274.564727783203,1.47521495819092e-06,1716,CABLE-POP
203.891967380853,1333.36727612936,506.758552331639,43.7556457519531,42.8779983520508,0.877641439437866,NaN,274.424224853516,5.96046447753906e-06,1717,CABLE-POP
203.925839371739,1333.45055108266,506.376225129315,42.0028076171875,43.0373191833496,-1.03450655937195,NaN,274.580047607422,-5.00679016113281e-06,1718,CABLE-POP
204.088921742309,1333.60436213623,505.842526402341,42.5188217163086,42.6291694641113,-0.110352784395218,NaN,274.335815429688,5.03659248352051e-06,1719,CABLE-POP
204.048720142124,1333.47694239303,505.928814180534,43.1587600708008,42.9992408752441,0.159517347812653,NaN,274.517974853516,1.84774398803711e-06,1720,CABLE-POP
203.787512848982,1333.10849730249,506.022891645972,42.1189765930176,42.9606246948242,-0.8416508436203,NaN,274.621398925781,2.74181365966797e-06,1721,CABLE-POP
204.162571286304,1333.39463209418,505.035572383221,42.1576652526855,42.3146553039551,-0.156990021467209,NaN,274.355560302734,-2.98023223876953e-08,1722,CABLE-POP
204.957737904105,1334.10339883343,504.723640282881,43.6024780273438,42.6905364990234,0.91193675994873,NaN,274.438018798828,4.76837158203125e-06,1723,CABLE-POP
205.226337076765,1334.45698378095,504.808951862117,42.6419219970703,42.8782920837402,-0.236373335123062,NaN,274.457611083984,3.24845314025879e-06,1724,CABLE-POP
204.795860948922,1334.00716050857,505.369049808303,43.2994842529297,42.9082107543945,0.391273617744446,NaN,274.399749755859,-1.19209289550781e-07,1725,CABLE-POP
204.45856519498,1333.61606126685,505.578798417009,42.7989540100098,43.1999130249023,-0.400962978601456,NaN,274.589874267578,3.96370887756348e-06,1726,CABLE-POP
204.766338265353,1333.92088044353,505.570978324948,43.5501136779785,42.9541015625,0.596011400222778,NaN,274.254547119141,7.15255737304688e-07,1727,CABLE-POP
204.38458663858,1333.55834850056,506.169627311759,43.4286575317383,42.8304138183594,0.598244667053223,NaN,274.319488525391,-9.5367431640625e-07,1728,CABLE-POP
203.813396136182,1333.0318491051,506.626729702584,41.5721740722656,43.055061340332,-1.48289370536804,NaN,274.463562011719,6.43730163574219e-06,1729,CABLE-POP
204.586332356068,1333.70473306757,505.278112807204,42.9493560791016,42.9261627197266,0.0231867581605911,NaN,274.477142333984,6.60121440887451e-06,1730,CABLE-POP
205.654828633068,1334.84530236563,504.178867700331,43.0764465332031,43.0234107971191,0.0530308187007904,NaN,274.309295654297,4.91738319396973e-06,1731,CABLE-POP
204.778886009875,1333.9305437544,504.741926339486,42.6717872619629,42.7644538879395,-0.092670351266861,NaN,274.390563964844,3.72529029846191e-06,1732,CABLE-POP
205.031984131239,1334.18775790787,504.553998532492,42.3486366271973,42.9218368530273,-0.573194146156311,NaN,274.514007568359,-6.07967376708984e-06,1733,CABLE-POP
